
=== Single numbers ===                                                           |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
[148191094, 2, 0, 500098, 2, 1, 1, 2, 68, 337641]                                :    21      :    17      :    16      :    16      :    16      :    15     
[1, 1, 1, 112, 1397, 0, 1, 448371493, 0, 4521]                                   :    17      :    16      :    14      :    14      :    13      :    12     
[15, 232, 1, 42, 2, 0, 0, 2, 0, 1053200345]                                      :    15      :    15      :    12      :    12      :    11      :    11     
[1828369, 4, 1, 2, 23, 16, 1, 17, 264, 2300827496]                               :    18      :    17      :    16      :    16      :    17      :    16     
[2349004787, 106, 2, 0, 0, 19165, 0, 1, 1, 3]                                    :    17      :    16      :    13      :    13      :    12      :    12     

=== Array: rather bigger random numbers ===                                      |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
[0, 1, 0, 115, 1, 391076, 7126931, 100461, 47, 0]                                :    20      :    17      :    16      :    16      :    15      :    15     
[99043, 1, 1, 7793923, 2344, 28880962, 5469, 27847678, 61, 43903]                :    28      :    25      :    26      :    28      :    26      :    25     
[22, 21, 2, 429185, 15131, 42911849, 113368816, 229, 11403, 9131453]             :    29      :    24      :    26      :    28      :    26      :    26     
[98, 2, 3, 0, 24120762, 26075940, 1158249, 80, 35863, 159426201]                 :    29      :    23      :    25      :    28      :    24      :    24     
[0, 1743932, 32, 5, 55553790, 169105327, 40138755, 5417722, 8, 20712227]         :    32      :    27      :    29      :    31      :    28      :    28     
[32, 2898, 355910, 12762762, 2816, 354769980, 885018, 903, 22637, 15831812]      :    31      :    29      :    30      :    30      :    30      :    30     
[77, 585480477, 513911, 207227556, 154410165, 80, 190, 1, 3768569, 746783]       :    34      :    28      :    31      :    33      :    30      :    30     
[446297, 917364321, 232, 65215580, 4, 1, 10, 6985, 57, 3]                        :    23      :    21      :    21      :    23      :    21      :    21     
[10453965, 5873232, 1812674, 57781820, 35, 1019929474, 180128442, 1, 536, 13]    :    32      :    29      :    30      :    32      :    30      :    30     
[509, 987566, 27873830, 287, 138130770, 16350161, 142523987, 1, 952957598, 17007]
                                                                                 :    36      :    32      :    32      :    36      :    33      :    32     
[172233, 23, 13, 3, 1334601699, 864, 32291169, 71365, 187260, 10624895]          :    30      :    27      :    28      :    28      :    28      :    28     
[1652548836, 63277, 21, 105350, 7, 980341, 5863379, 12398319, 1107144, 2101615]
                                                                                 :    34      :    30      :    32      :    33      :    32      :    32     
[108, 728, 7, 50, 1683518376, 482, 2016, 4, 30, 75]                              :    19      :    17      :    17      :    20      :    18      :    18     
[15224517, 2141388, 1126961, 118, 26865472, 656579243, 1, 988520678, 43, 2137000]
                                                                                 :    35      :    32      :    32      :    36      :    32      :    32     
[500389, 0, 137, 223, 1664463665, 721113, 1678070, 11054141, 1568668, 156621022]
                                                                                 :    35      :    30      :    32      :    34      :    32      :    32     
[12126, 171285, 28026733, 40690, 81, 11, 1771016255, 61672271, 9229386, 15]      :    33      :    28      :    31      :    32      :    30      :    30     
[114, 964, 18404428, 4, 596453148, 1663131632, 36914, 423480, 424576, 921002]    :    35      :    30      :    32      :    33      :    31      :    31     
[398611976, 22230920, 2870296, 30025383, 997183, 1124856667, 1002041106, 824381, 10750066, 118403]
                                                                                 :    45      :    40      :    42      :    44      :    41      :    41     
[423366524, 12399266, 0, 11, 54601, 2023, 202753972, 239953, 80189, 2964983491]
                                                                                 :    34      :    31      :    32      :    32      :    31      :    32     
[206439, 46, 245387, 3969240040, 4650, 1027650112, 69, 40295, 13, 11636]         :    30      :    26      :    27      :    30      :    28      :    28     

=== Arrays of small numbers ===                                                  |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
[0]                                                                              :     1      :     1      :     1      :     1      :     1      :     1     
